new_time,time,sss,sst,wind_spd,wind_dir,precip,cum_precip3,cum_precip6,year,month,day,hour,scaled_sss,scaled_dir,scaled_spd,scaled_sst,pct_change,pct_c_scaled,set,sst_pct_change,dir_pct_change,spd_pct_change
2017-01-25 09:29:59.999971200,736720.3958333334,34.11936418918962,26.830533975582053,7.547800264026737,-150.25155963954018,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,9,1.0300725186665671,-0.9829131069130718,0.7897606680269803,-1.668751204004639,9.124255228054601e-05,0.057055654190360565,Spurs2,0.03737139129882135,0.03181258270303505,-0.014942296729455563
2017-01-25 10:30:00.000000000,736720.4375,34.125586727206525,26.821029324837735,7.524535206992973,-153.09486411185534,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,10,1.0393114139340227,-1.0094595800997361,0.7793534089136237,-1.6841031181390917,0.00018237555607436562,0.11558935431985726,Spurs2,-0.18643922269280558,0.03793809477986804,-0.055365482118888386
2017-01-25 11:30:00.000028800,736720.4791666667,34.125715738624635,26.820173161004067,7.161474948047703,-148.81686365593816,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,11,1.0395029632627673,-0.9695180875507259,0.6169440847876528,-1.6854859941661082,3.78048937710318e-06,0.0008797579773961802,Spurs2,-0.014515815609907069,0.023456573369292834,-0.09584027417995811
2017-01-25 12:29:59.999971200,736720.5208333334,34.128743744571935,26.81227723367674,7.328374168791236,-150.24296020495652,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,12,1.0439987863080147,-0.9828328184100927,0.6916038388374471,-1.6982394978562354,8.873091396788269e-05,0.055442457239672976,Spurs2,-0.1545189007895666,0.03505189045102775,-0.03171969319475988
2017-01-25 13:30:00.000000000,736720.5625,34.1363195797436,26.81611651144042,7.801083662450715,-153.1127649836066,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,13,1.0552469855997415,-1.0096267113431854,0.9030630318546011,-1.6920382955025788,0.0002219781433610013,0.14102564931823805,Spurs2,0.07888621738302524,0.0379929302698038,0.005198515265195462
2017-01-25 14:30:00.000028800,736720.6041666667,34.14202597535992,26.81578965145151,7.825152213814706,-160.9573749071669,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,14,1.0637195399353874,-1.0828678042417135,0.9138297215800832,-1.6925662398341186,0.00016716493419832723,0.10581974350257864,Spurs2,-0.003990869028423225,0.047921779684950414,-0.04983866834309427
2017-01-25 15:29:59.999971200,736720.6458333334,34.1501682668023,26.81019152001414,7.7745272252427275,-163.36537355573523,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,15,1.0758087835316203,-1.1053500505787346,0.8911834253378406,-1.7016083430582967,0.0002384829608017558,0.1516265073449843,Spurs2,-0.10883993060401088,0.03671351513298227,-0.05840070760907266
2017-01-25 16:30:00.000000000,736720.6875,34.156046151095545,26.804843920274063,7.793380310867824,-161.68439153931783,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,16,1.084535955182801,-1.0896555850508292,0.8996170580988487,-1.7102457874256398,0.00017211875055278547,0.10900152385565991,Spurs2,-0.10387890399277357,0.028911429133729617,-0.05043036303019484
2017-01-25 17:30:00.000028800,736720.7291666667,34.158886283634416,26.814535805823482,7.855763666510992,-167.7458496225731,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,17,1.088752833729952,-1.1462483052628174,0.9275232758053817,-1.694591451589622,8.315167763583986e-05,0.05185897669128426,Spurs2,0.19536707038323417,0.04367477049117497,-0.04543042589307111
2017-01-25 18:29:59.999971200,736720.7708333334,34.161851786696886,26.83564174202156,7.5105732444699695,-164.565087047357,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,18,1.093155855798284,-1.116551159129408,0.7731077435152113,-1.6605011384412054,8.681498096407836e-05,0.05421187508782588,Spurs2,0.42234079490633664,0.026231829672826546,-0.09197885323161803
2017-01-25 19:30:00.000000000,736720.8125,34.165093334177605,26.863380900365755,7.12382667341218,-164.88113818021847,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,19,1.0979687340157382,-1.1195019661941505,0.6001027184099961,-1.6156968433105723,9.488793233347614e-05,0.05939704066939081,Spurs2,0.553852057430648,0.03268428419658465,-0.09874670004492755
2017-01-25 20:30:00.000028800,736720.8541666667,34.167861257457204,26.88654436555813,7.487030368146648,-165.82188529786245,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,20,1.1020784000746815,-1.1282852387480156,0.7625762062911706,-1.578283208843015,8.101611936273123e-05,0.05048733170688308,Spurs2,0.46243049902023003,0.03385384220416882,-0.006916416395784888
2017-01-25 21:29:59.999971200,736720.8958333334,34.16970582999862,26.912898305290852,7.174906403525517,-164.72299199796657,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,21,1.1048171238039795,-1.1180254365338202,0.6229524361630335,-1.5357163191418726,5.398560148428544e-05,0.03312593504512567,Spurs2,0.5253278551345575,0.03004318952158175,-0.08996046506988184
2017-01-25 22:30:00.000000000,736720.9375,34.17117717901463,26.93860086564916,7.044535028486331,-160.49977710396956,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,22,1.1070017049867436,-1.0785954486318468,0.5646328421457786,-1.494201537560635,4.306004340004499e-05,0.026108572355126213,Spurs2,0.511906291065571,0.024168853049071952,-0.06888589638575551
2017-01-25 23:30:00.000028800,736720.9791666667,34.171799103487096,26.933881082334814,7.250973977030038,-160.9701553063825,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,25,23,1.1079251055428827,-1.0829871282636025,0.6569800745409212,-1.5018249326883708,1.8200264779055786e-05,0.01014141702708754,Spurs2,-0.09094103076451375,0.03299642278893162,-0.026343383676670225
2017-01-26 00:29:59.999971200,736721.0208333334,34.17306265479689,26.921918626053504,7.471691793552412,-157.21117908474196,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,26,0,1.1098011596842141,-1.0478914983552665,0.7557147350297809,-1.5211466949085757,3.6976435041191635e-05,0.022201139344489824,Spurs2,-0.23438719797660085,0.024875292719893416,-0.025326392636108978
2017-01-26 01:30:00.000000000,736721.0625,34.17329438402577,26.902498837580097,7.632465144793135,-156.0162133577144,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,26,1,1.1101452189844987,-1.0367347172435728,0.8276341772411886,-1.55251354185255,6.781049484150259e-06,0.0028069838803608227,Spurs2,-0.3822388619634723,0.029742209504577007,-0.0333214523688664
2017-01-26 02:30:00.000028800,736721.1041666667,34.17317627693306,26.873237855536438,7.873920761491159,-154.5623772572276,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,26,2,1.1099698598212553,-1.023160996442595,0.9356455680452067,-1.5997758869831733,-3.45612253194183e-06,-0.0037682362047764006,Spurs2,-0.5776333590622611,0.029211525926728103,-0.02425502630245379
2017-01-26 03:29:59.999971200,736721.1458333334,34.17261830197553,26.848216334830155,8.12553692813487,-154.2676358918625,0.043121115171846025,0.043121115171842916,0.043121115171839475,2017,1,26,3,1.1091414081218878,-1.020409147729645,1.0482021218318691,-1.6401906531570791,-1.6327863497589412e-05,-0.012035610201713275,Spurs2,-0.4941197018125028,0.03150163097300938,-0.023968005829758093
2017-01-26 04:30:00.000000000,736721.1875,34.17274377361355,26.833468168709814,8.32711760945189,-151.6223660837567,0.0,0.043121115171842916,0.043121115171839475,2017,1,26,4,1.109327701772405,-0.9957116224677109,1.1383760844260093,-1.6640118945693914,3.6717010358788826e-06,0.0008098844532312691,Spurs2,-0.2904857082197144,0.026792500354107133,-0.030372728801965856
2017-01-26 05:30:00.000028800,736721.2291666667,34.173954210863194,26.82219802574256,8.46862583069079,-153.92117234307935,0.0,0.043121115171842916,0.043121115171839475,2017,1,26,5,1.1111248949670351,-1.0171743955610038,1.2016775722739061,-1.6822154321606841,3.542113146259851e-05,0.021202185403657724,Spurs2,-0.22151220240899924,0.036775597258810674,-0.03737540048702946
2017-01-26 06:29:59.999971200,736721.2708333334,34.17421453247021,26.815276503426205,8.313756630289607,-153.01040782984208,0.0,-3.1086244689504383e-15,0.043121115171839475,2017,1,26,6,1.1115114067177931,-1.008671055181726,1.1323992595272683,-1.693395076646188,7.617544209637117e-06,0.003344255004797017,Spurs2,-0.13513013404291405,0.03026253182702776,-0.06899068845604858
2017-01-26 07:30:00.000000000,736721.3125,34.17490126876327,26.807109474666063,8.098127852354889,-150.4097093798516,0.0,-3.1086244689504383e-15,0.043121115171839475,2017,1,26,7,1.1125310364365224,-0.984389669793176,1.0359411007956465,-1.7065864634348336,2.0095159536381857e-05,0.011358486550585477,Spurs2,-0.15994006066361474,0.026838973763622712,-0.07584492004938086
2017-01-26 08:30:00.000028800,736721.3541666667,34.173156505687544,26.798083447734463,7.689403117344938,-146.70144095204645,0.6657202266653237,0.6657202266653206,0.7088413418371632,2017,1,26,8,1.1099405045218325,-0.9497674725061133,0.8531044880543459,-1.7211653042735688,-5.105393171456196e-05,-0.034339772020930796,Spurs2,-0.1770811117625284,0.02447284972801568,-0.0978307928649247
2017-01-26 09:29:59.999971200,736721.3958333334,34.174829482386606,26.79184741758036,8.589932663973903,-152.8679188654267,0.0,0.6657202266653206,0.6657202266653172,2017,1,26,9,1.112424451822039,-1.00734070892086,1.2559422854171367,-1.73123774165617,4.895587268283208e-05,0.02989539698382093,Spurs2,-0.12161010233259097,0.04507906059750582,0.052341375340640164
2017-01-26 10:30:00.000000000,736721.4375,34.17558630323811,26.779511604488068,8.742122106041037,-153.05696764059905,0.0,0.6657202266653206,0.6657202266653172,2017,1,26,10,1.1135481393855862,-1.009105760215911,1.3240218502173093,-1.7511625498859442,2.2145563356668063e-05,0.012675437790693142,Spurs2,-0.2430760255990455,0.03247298264871691,-0.03672705135620316
2017-01-26 11:30:00.000028800,736721.4791666667,34.17587842902093,26.77035696857363,9.083972751251125,-156.83278416309113,0.0,-3.1086244689504383e-15,0.6657202266653172,2017,1,26,11,1.1139818722940986,-1.0443586193620453,1.4769433856172127,-1.765949119984234,8.547791403801241e-06,0.003941742282103257,Spurs2,-0.17982777246596873,0.03971347429300139,-0.017562507868163473
2017-01-26 12:29:59.999971200,736721.5208333334,34.17715095854679,26.768756862309168,8.96757781082465,-152.98432692065217,0.0,-3.1086244689504383e-15,0.6657202266653172,2017,1,26,12,1.1158712568156857,-1.0084275511309866,1.4248759308611803,-1.7685336120017554,3.723472766026248e-05,0.02236703777953494,Spurs2,-0.029370650997995428,0.024508645329822866,-0.06408528209438064
2017-01-26 13:30:00.000000000,736721.5625,34.17998756689126,26.759475404841574,8.85056498536782,-150.98535592639877,0.0,-3.1086244689504383e-15,0.6657202266653172,2017,1,26,13,1.1200829028254293,-0.9897641858753272,1.3725320749081142,-1.7835250243027547,8.299721494964274e-05,0.05175976705066368,Spurs2,-0.1824280240340243,0.02805342208559923,-0.06429605476203658
2017-01-26 14:30:00.000028800,736721.6041666667,34.183000923467745,26.74638201562693,8.485803917229564,-159.13267670605913,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,26,14,1.1245569752598552,-1.0658315345276859,1.2093619204111674,-1.8046734696648645,8.816142985956787e-05,0.05507668402210157,Spurs2,-0.25847350966489685,0.048764337269139986,-0.0895345396966318
2017-01-26 15:29:59.999971200,736721.6458333334,34.185516543283235,26.737849205770335,8.109449462797677,-151.39746620010476,0.0,-3.1086244689504383e-15,-6.5503158452884236e-15,2017,1,26,15,1.1282920344824592,-0.9936118477903304,1.0410056460184491,-1.8184556661671805,7.359271414242308e-05,0.04571936228837999,Spurs2,-0.16765300978123612,0.017071237818629202,-0.09234627753901012
2017-01-26 16:30:00.000000000,736721.6875,34.177824078924225,26.727745066913144,8.788777320294086,-176.9587794560948,2.1323117724335914,2.1323117724335883,2.1323117724335847,2017,1,26,16,1.116870670343191,-1.2322646982230345,1.3448923300539146,-1.8347758736435995,-0.00022502115330835792,-0.146076955667055,Spurs2,-0.19905316625980363,0.08425964998124874,0.022462650079738324
